"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000142937",321.450546474173,4.18937067008761,0.79761170809605,5.25239364914528,1.50135156643056e-07,0.000349990262543599
"ENSG00000071082",303.249810564242,3.66027191096858,0.697292994041994,5.24925955408085,1.52711782039204e-07,0.000349990262543599
"ENSG00000114942",192.628903994302,4.00125313262849,0.761159576984123,5.25678616366138,1.46594596660527e-07,0.000349990262543599
"ENSG00000144713",350.167872325024,3.93701682712375,0.745859751569101,5.27849480930062,1.30249355184077e-07,0.000349990262543599
"ENSG00000198034",523.798937243195,4.00858233685686,0.758731077629395,5.28327157677712,1.26897060215802e-07,0.000349990262543599
"ENSG00000136942",282.44545839894,4.10837989273232,0.795498852666827,5.1645327695438,2.41040248187776e-07,0.000349990262543599
"ENSG00000118181",195.453498697014,3.90820275641269,0.747281925909906,5.229890648906,1.69610335022405e-07,0.000349990262543599
"ENSG00000172809",329.260223461412,3.89288749665779,0.750025716425147,5.19033869293507,2.09911903433053e-07,0.000349990262543599
"ENSG00000142534",382.129526381981,4.14778493189667,0.797239247694793,5.20268532173991,1.96429317819686e-07,0.000349990262543599
"ENSG00000283907",196.064122073675,4.12931349425338,0.800562682886676,5.158013960086,2.49583015434357e-07,0.000349990262543599
"ENSG00000122026",197.547049073732,4.10204495363828,0.811063105109609,5.05761503364639,4.24532346504118e-07,0.000541201554093386
"ENSG00000205542",659.640807067158,4.03496527406748,0.811948132786714,4.96948648704806,6.71304487095408e-07,0.000784475235211576
"ENSG00000279483",62.6348276256831,3.97770999597961,0.803790809753254,4.94868807619321,7.47153723531073e-07,0.000805948974236633
"ENSG00000105193",215.874801572934,3.35862683218498,0.683885568749996,4.91109475862148,9.05693038998522e-07,0.000907180963276876
"ENSG00000122406",327.109992105578,3.68704066200952,0.764113016217374,4.82525566736404,1.39823784242885e-06,0.000929880558970713
"ENSG00000143947",347.648661215874,3.91980722692317,0.810060781902267,4.83890507292339,1.30556381006915e-06,0.000929880558970713
"ENSG00000147604",237.559680958903,3.49541877569088,0.724469333145869,4.8247988089609,1.40144663172132e-06,0.000929880558970713
"ENSG00000008988",426.96610677992,3.86815825023019,0.792397405667492,4.88158873636363,1.05234549681072e-06,0.000929880558970713
"ENSG00000197958",385.283549371763,3.6589047422255,0.760989715929586,4.80808697625561,1.52381469930135e-06,0.000929880558970713
"ENSG00000177600",674.534913390559,3.68813395570809,0.760234261532174,4.85131247344079,1.22647139649944e-06,0.000929880558970713
"ENSG00000167526",692.746524991773,3.7949251109602,0.788270561303186,4.81424183174664,1.47759787090359e-06,0.000929880558970713
"ENSG00000108298",1005.70251366189,3.77893810667924,0.777331645878852,4.86142321197636,1.16544788841034e-06,0.000929880558970713
"ENSG00000210196",65.2616222488071,3.98588998259294,0.829027382428769,4.80791113426874,1.52515530602057e-06,0.000929880558970713
"ENSG00000231500",264.667469725567,3.60534102829291,0.752155650431829,4.79334433800106,1.64023737204717e-06,0.000958377027842394
"ENSG00000133112",236.304316292663,3.25661997466299,0.684808326476772,4.75552041170085,1.97935858908599e-06,0.00111026181979011
"ENSG00000211751",77.2462386685583,3.17943019374462,0.670156559565128,4.74430959208664,2.09218666432168e-06,0.00112841283053011
"ENSG00000212907",1264.77310363966,5.74690372423818,1.21517577961731,4.72927770667717,2.25320006967973e-06,0.00117024535470811
"ENSG00000125691",367.773369578098,3.55309098042227,0.754743237146692,4.70768177248561,2.50549831920193e-06,0.00125480724750602
"ENSG00000156482",188.556984966242,3.60566637142931,0.767990879612664,4.69493384250582,2.6669302289357e-06,0.00128959871035742
"ENSG00000114391",221.38058474587,3.60247911052032,0.773375877449273,4.65812189850286,3.19107248379342e-06,0.0014342767675655
"ENSG00000215030",43.114028206067,3.44957085180828,0.74290824857031,4.6433336262544,3.42832078223482e-06,0.0014342767675655
"ENSG00000266378",227.133307524116,3.66311895321934,0.789296139374801,4.64099438788701,3.46736543558129e-06,0.0014342767675655
"ENSG00000167658",1126.92228089333,3.49377611395878,0.750230439840184,4.65693729343085,3.2094814693899e-06,0.0014342767675655
"ENSG00000100316",910.087391561545,3.51037901628474,0.756483695560093,4.64038952443739,3.47753049256414e-06,0.0014342767675655
"ENSG00000089820",404.73770956128,3.12963181420131,0.675505841039414,4.63301961887655,3.60370372796134e-06,0.00144384963934863
"ENSG00000136938",318.220453601196,3.31347716226001,0.718443764040213,4.61202021383896,3.98774204101292e-06,0.00155333629558678
"ENSG00000248527",2349.38874600779,5.3208470911977,1.16625248585943,4.56234576621431,5.05852511974424e-06,0.00182641730849832
"ENSG00000143772",285.682151164805,2.50868129934715,0.54877128456668,4.57145147696285,4.84357455611819e-06,0.00182641730849832
"ENSG00000161267",886.93992112022,3.39863589663744,0.745943385128194,4.556157966403,5.20977624901467e-06,0.00182641730849832
"ENSG00000198763",10480.294183842,4.72802492051611,1.03704658855306,4.55912489632013,5.13672169560109e-06,0.00182641730849832
